攝影機名稱,車牌,單位,日期,時間,攝影機,LocationID,經度,緯度,ConvoyID,FollowingID
(租11401)中興路756巷口-7.往大竹外車道(車),NOR-1002,大竹派出所,2025-08-01,09:36:10,2100706061,LOC_3974,121.249394,25.008423,,
(租11401)中興路756巷口-5.往中興路711巷(車),NOR-1002,大竹派出所,2025-08-01,09:36:13,2100706041,LOC_3973,121.249206,25.008295,,
(租11401)中興路756巷口-4.往中興路711巷(車),NOR-1002,大竹派出所,2025-08-01,09:36:20,2100706031,LOC_3972,121.249145,25.007982,,
(租11402)中興路與中興路667巷口-6.中興路往合圳北路自行車道(車),NOR-1002,大竹派出所,2025-08-01,09:36:54,2100963051,LOC_4025,121.251108,25.008596,,
(租11402)中興路與中興路667巷口-4.往合圳北路(車),NOR-1002,大竹派出所,2025-08-01,09:36:55,2100963031,LOC_4025,121.25114,25.008585,,
(租11402)中興路與中興路667巷口-5.往中興路711巷(車),NOR-1002,大竹派出所,2025-08-01,09:37:08,2100963041,LOC_4026,121.251703,25.0084,,
(租11402)中興路與中興路667巷口-3.往龍安街二段(車),NOR-1002,大竹派出所,2025-08-01,09:37:14,2100963021,LOC_4024,121.251868,25.008618,,
(租11402)中興路與中興路667巷口-7.中興路往龍安街二段自行車道(車),NOR-1002,大竹派出所,2025-08-01,09:37:16,2100963061,LOC_4024,121.251941,25.00862,,
(租11402)龍林街與中興路585巷-2.往中興路(車),NOR-1002,大竹派出所,2025-08-01,09:39:11,2100755011,LOC_4062,121.255075,25.005162,,
(租11402)龍林街與中興路585巷-4.往龍安街二段(車),NOR-1002,大竹派出所,2025-08-01,09:39:17,2100755031,LOC_4064,121.255349,25.00511,,
(租11402)龍林街與中興路585巷-5.往涵洞(車),NOR-1002,大竹派出所,2025-08-01,09:39:23,2100755041,LOC_4061,121.255147,25.004864,,
(租11402)龍林街與中興路585巷-3.往中壢服務區(車),NOR-1002,大竹派出所,2025-08-01,09:39:26,2100755021,LOC_4063,121.255026,25.004862,,
(租11401)龍林街與福興三街-4.往龍安街二段(車),NOR-1002,大竹派出所,2025-08-01,09:39:40,2100715031,LOC_3981,121.255452,25.004319,,
(租11401)龍林街與福興三街-3.往中壢服務區(車),NOR-1002,大竹派出所,2025-08-01,09:39:44,2100715021,LOC_3981,121.255304,25.004224,,
(租11401)龍林街與福興三街-2.往福興二街(車),NOR-1002,大竹派出所,2025-08-01,09:39:56,2100715011,LOC_3982,121.255539,25.003799,,
(租11402)大興一街與興仁路口-4.往中興六街(車),NOR-1002,大竹派出所,2025-08-01,09:43:23,2100723031,LOC_4021,121.262003,25.01411,,
(租11402)大興一街與興仁路口-3.往大興二街(車),NOR-1002,大竹派出所,2025-08-01,09:43:31,2100723021,LOC_4020,121.262019,25.014476,,
(租11402)大興一街與興仁路口-2.往大興八街(車),NOR-1002,大竹派出所,2025-08-01,09:43:38,2100723011,LOC_4019,121.262376,25.014441,,
(租11402)廣福路1357巷206弄口-4.往廣福路1357巷280弄往永豐南路31巷(車),NOR-1001,高明派出所,2025-08-01,09:44:00,2080650031,LOC_3636,121.271883,24.953865,,
(租11402)廣福路1357巷206弄口-2.往廣福路1357巷往廣福路(車),NOR-1001,高明派出所,2025-08-01,09:44:08,2080650011,LOC_3634,121.271339,24.95408,,
(租11402)廣福路1357巷206弄口-3.往廣福路1357巷206弄往永豐南路31巷(車),NOR-1001,高明派出所,2025-08-01,09:44:25,2080650021,LOC_3635,121.271808,24.953303,,
(租11401)上興路、興中街-4.往大興八街(車),NOR-1002,大竹派出所,2025-08-01,09:45:10,2100803031,LOC_3936,121.259453,25.018569,,
(租11401)上興路、興中街-3.往興仁路(車),NOR-1002,大竹派出所,2025-08-01,09:45:16,2100803021,LOC_3935,121.259612,25.018846,,
(租11401)上興路、興中街-2.往大福路(車),NOR-1002,大竹派出所,2025-08-01,09:45:23,2100803011,LOC_3934,121.25949,25.019076,,
(租11401)大新一街與上興路口-2.豪登一街往大福路(車),NOR-1002,大竹派出所,2025-08-01,09:45:40,2100803111,LOC_3942,121.258302,25.019061,,
(租11401)大新一街與上興路口-3.豪登一街往大興八街(車),NOR-1002,大竹派出所,2025-08-01,09:45:44,2100803121,LOC_3943,121.25831,25.018802,,
(租11401)大新一街與上興路口-4.大新一街往大興八街(車),NOR-1002,大竹派出所,2025-08-01,09:45:58,2100803131,LOC_3944,121.257604,25.018616,,
(租11401)大新一街與上興路口-5.上興路往大興路(車),NOR-1002,大竹派出所,2025-08-01,09:46:03,2100803141,LOC_3945,121.257391,25.018888,,
(租11401)大新一街與上興路口-6.往大福路(車),NOR-1002,大竹派出所,2025-08-01,09:46:09,2100803151,LOC_3946,121.257607,25.018998,,
(租11402)廣福路1357巷與永豐南路31巷(延伸永豐南路31巷280弄口)-3.往永豐南路31巷往永豐南路31巷280弄(車),NOR-1001,高明派出所,2025-08-01,09:46:23,2080651021,LOC_3639,121.27708,24.953902,,
(租11401)大興路、上興路-4.往大新一街(車),NOR-1002,大竹派出所,2025-08-01,09:46:28,2100802031,LOC_3968,121.256593,25.018621,,
(租11402)廣福路1357巷與永豐南路31巷(延伸永豐南路31巷280弄口)-4.往永豐南路31巷往永豐路(車),NOR-1001,高明派出所,2025-08-01,09:46:58,2080651031,LOC_3640,121.277093,24.955645,,
(租11402)廣福路1357巷與永豐南路31巷(延伸永豐南路31巷280弄口)-5.往廣福路879巷192弄往廣福路879巷(車),NOR-1001,高明派出所,2025-08-01,09:47:01,2080651041,LOC_3641,121.276976,24.955713,,
(租11402)廣興路1360巷80弄口-4.往廣興路1360巷往溪墘街(車),NOR-1001,廣興派出所,2025-08-01,09:47:49,2080653031,LOC_3405,121.279342,24.954982,,
(租11402)廣興路1360巷80弄口-3.往廣興路1360巷往永豐南路(車),NOR-1001,廣興派出所,2025-08-01,09:48:29,2080653021,LOC_3403,121.280675,24.956095,,
(租11402)廣興路與廣興路1156巷口-4.往廣興路往廣福路(車),NOR-1001,廣興派出所,2025-08-01,09:49:30,2080654031,LOC_3409,121.28346,24.9546,,
(租11402)廣興路與廣興路1156巷口-3.往廣興路往新興路(車),NOR-1001,廣興派出所,2025-08-01,09:49:39,2080654021,LOC_3408,121.283674,24.954153,,
(租11402)廣興路與廣興路1156巷口-5.往廣興路1156巷往廣福路(車),NOR-1001,廣興派出所,2025-08-01,09:50:02,2080654041,LOC_3410,121.284483,24.955269,,
(租11401)廣福路與廣福路451巷口 (含483、499巷口)-3.往力霸街(車),NOR-1001,廣興派出所,2025-08-01,09:51:51,2080616021,LOC_3355,121.288328,24.959348,,
(租11401)廣福路與廣福路451巷口 (含483、499巷口)-5.往廣興路(車),NOR-1001,廣興派出所,2025-08-01,09:52:06,2080616041,LOC_3353,121.288341,24.959896,,
(租11401)廣福路與廣福路451巷口 (含483、499巷口)-4.往大湳(車),NOR-1001,廣興派出所,2025-08-01,09:52:15,2080616031,LOC_3356,121.288793,24.959853,,
(租11402)廣福路與廣隆街口-6.往廣隆街往廣福路(車),NOR-1001,廣興派出所,2025-08-01,09:53:40,2080652051,LOC_3402,121.292179,24.959346,,
(租11402)廣福路與廣隆街口-5.往廣隆街往建國路(車),NOR-1001,廣興派出所,2025-08-01,09:53:44,2080652041,LOC_3399,121.292153,24.959094,,
(租11402)中路街與中路南街口-5.往中路南街往國際路(車),NOR-1001,廣興派出所,2025-08-01,09:54:38,2080620041,LOC_3371,121.294327,24.961177,,
(租11402)中路街與中路南街口-6.往中路北街往國際二路(車),NOR-1001,廣興派出所,2025-08-01,09:54:44,2080620051,LOC_3372,121.294295,24.961488,,
(租11401)國際一路88號前路口 (延伸至國際一、二路口)-7.往國際一路往中路街(車),NOR-1001,中路派出所,2025-08-01,09:55:08,2010076061,LOC_0344,121.293306,24.961889000000003,,
(租11401)國際一路88號前路口 (延伸至國際一、二路口)-6.往國際二路往中路北街(車),NOR-1001,中路派出所,2025-08-01,09:55:16,2010076051,LOC_0343,121.293647,24.962301,,
(租11402)中路街與中路南街口-4.往國際一路往國際路一段(車),NOR-1001,廣興派出所,2025-08-01,09:55:22,2080620031,LOC_3370,121.293343,24.962521,,
(租11401)國際一路88號前路口 (延伸至國際一、二路口)-5.往中路北街67巷(車),NOR-1001,中路派出所,2025-08-01,09:55:37,2010076041,LOC_0342,121.293488,24.963336,,
(租11401)國際一路88號前路口 (延伸至國際一、二路口)-8.往國際路一段往國豐街(車),NOR-1001,中路派出所,2025-08-01,09:56:01,2010076071,LOC_0345,121.292439,24.963559,,
(租11401)國際路一段141巷與桃德路39巷口-6.往國際路一段120巷(車),NOR-1001,中路派出所,2025-08-01,09:56:21,2010078051,LOC_0351,121.292855,24.964712,,
(租11401)國際路一段141巷與桃德路39巷口-4.往桃德路39巷(車),NOR-1001,中路派出所,2025-08-01,09:56:48,2010078031,LOC_0349,121.292683,24.965737,,
(租11401)國際路一段141巷與桃德路39巷口-3.往國際路一段往桃園(車),NOR-1001,中路派出所,2025-08-01,09:56:58,2010078021,LOC_0348,121.292196,24.96585,,
(租11401)國際路一段141巷與桃德路39巷口-5.往國際路一段141巷(車),NOR-1001,中路派出所,2025-08-01,09:57:13,2010078041,LOC_0350,121.291792,24.96517,,
(租11402)國際路一段262巷與桃德路113巷-4.往八德(車),NOR-1001,中路派出所,2025-08-01,09:58:15,2010079031,LOC_0408,121.292344,24.967785,,
(租11402)國際路一段262巷與桃德路113巷-5.往桃德路(車),NOR-1001,中路派出所,2025-08-01,09:58:21,2010079041,LOC_0409,121.29252,24.96796,,
(租11402)國際路一段308號前Y字型路口-4.往八德(車),NOR-1001,中路派出所,2025-08-01,09:58:38,2010080031,LOC_0413,121.291523,24.968309,,
(租11401)民生街(桃109)、民生街505巷-4.往民有路二段(車),NOR-1003,富岡派出所,2025-08-01,17:32:00,2050208031,LOC_2479,121.087243,24.946168,,
(租11401)民生街(桃109)、民生街505巷-2.往民生街505巷(車),NOR-1003,富岡派出所,2025-08-01,17:32:11,2050208011,LOC_2477,121.087732,24.946018,,
(租11401)民生街(桃109)、民生街505巷-3.往民生街375巷(車),NOR-1003,富岡派出所,2025-08-01,17:32:25,2050208021,LOC_2478,121.087438,24.945331,,
(租11401)中正路、成功路口-5.往成功路20巷(車),NOR-1003,富岡派出所,2025-08-01,17:36:46,2050202041,LOC_2475,121.083626,24.934767,,
(租11401)中正路、成功路口-3.往中華街(車),NOR-1003,富岡派出所,2025-08-01,17:37:00,2050202021,LOC_2473,121.083021,24.935181,,
(租11401)中正路、成功路口-4.往中華街66巷(車),NOR-1003,富岡派出所,2025-08-01,17:37:11,2050202031,LOC_2474,121.082885,24.934619,,
(租11402)龍山街與內定一街口-3.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,17:38:00,2010091021,LOC_0482,121.260533,24.984459,,
(租11402)龍山街與內定一街口-5.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,17:38:09,2010091041,LOC_0484,121.260617,24.98389,,
(租11401)龍山街186巷與中山路1562巷口-4.往中山路1562巷往內定一街(車),NOR-1005,龍安派出所,2025-08-01,17:38:55,2010038031,LOC_0461,121.262456,24.981445,,
(租11401)龍山街186巷與中山路1562巷口-5.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,17:39:17,2010038041,LOC_0462,121.262647,24.980464,,
(租11401)龍山街186巷與中山路1562巷口-6.往中山路1562巷往龍門街(車),NOR-1005,龍安派出所,2025-08-01,17:39:33,2010038051,LOC_0463,121.26263,24.979683,,
(租11402)富豐二、富豐二259巷、260巷口-3.往富元街465巷(車),NOR-1003,富岡派出所,2025-08-01,17:39:41,2051007021,LOC_2497,121.081981,24.925908,,
(租11402)富豐二、富豐二259巷、260巷口-2.往楊湖路三段846巷(車),NOR-1003,富岡派出所,2025-08-01,17:39:55,2051007011,LOC_2496,121.081408,24.925559,,
(租11402)龍門街24號前十字路口-6.往龍門街往中壢成功路(車),NOR-1005,龍安派出所,2025-08-01,17:40:12,2010092051,LOC_0499,121.263497,24.977497,,
(租11401)雙龍街29巷與中山路1530巷口-3.往雙龍街29巷往雙龍街(車),NOR-1005,龍安派出所,2025-08-01,17:41:30,2010039021,LOC_0467,121.266195,24.9796,,
(租11401)雙龍街29巷與中山路1530巷口-4.往雙龍街29巷往中山街(車),NOR-1005,龍安派出所,2025-08-01,17:42:05,2010039031,LOC_0466,121.265831,24.97812,,
(租11401)中山路與中山路1496巷-5.往中山路外車道(車),NOR-1005,龍安派出所,2025-08-01,17:42:52,2010006041,LOC_0438,121.268177,24.976557,,
(租11401)中山路與中山路1496巷-6.往中山路內車道(車),NOR-1005,龍安派出所,2025-08-01,17:42:53,2010006051,LOC_0438,121.268199,24.976535,,
(租11402)楊湖路三段846巷與富豐三路二段口-3.往富豐二路(車),NOR-1003,上湖派出所,2025-08-01,17:43:20,2051005021,LOC_2284,121.077966,24.917918,,
(租11402)楊湖路三段846巷與富豐三路二段口-2.往富民街(車),NOR-1003,上湖派出所,2025-08-01,17:43:24,2051005011,LOC_2283,121.078161,24.917773,,
(租11401)中華路與高城六街48巷口-3.往龍祥街(車),NOR-1005,高明派出所,2025-08-01,17:44:30,2080593021,LOC_3591,121.271954,24.979301,,
(租11401)中華路與高城六街48巷口-4.往高城六街48巷(車),NOR-1005,高明派出所,2025-08-01,17:45:09,2080593031,LOC_3592,121.274303,24.979626,,
(租11401)中華路與中華北街-4.往中華北街(車),NOR-1005,高明派出所,2025-08-01,17:46:01,2080592031,LOC_3589,121.276352,24.982356,,
(租11401)中華路與中華北街-3.往中華北街(車),NOR-1005,高明派出所,2025-08-01,17:46:05,2080592021,LOC_3588,121.276573,24.982187,,
(租11402)高鐵南路十段、上湖二路口(一)-5.往楊湖路三段875巷(車),NOR-1003,上湖派出所,2025-08-01,17:47:17,2050284041,LOC_2281,121.08517,24.907437,,
(租11402)高鐵南路十段、上湖二路口(一)-4.往上湖二路90巷(車),NOR-1003,上湖派出所,2025-08-01,17:47:32,2050284031,LOC_2280,121.085877,24.907574,,
(租11401)高鐵南路十段、上湖二路口(二)-4.往上湖三路421巷(車),NOR-1003,上湖派出所,2025-08-01,17:47:52,2050227031,LOC_2261,121.08664,24.907246,,
(租11401)高鐵南路十段、上湖二路口(二)-2.高鐵南路十段往楊湖路三段內車道(車),NOR-1003,上湖派出所,2025-08-01,17:47:58,2050227011,LOC_2260,121.086287,24.907363,,
(租11401)高鐵南路十段、上湖二路口(二)-3.高鐵南路十段往楊湖路三段外車道(車),NOR-1003,上湖派出所,2025-08-01,17:47:58,2050227021,LOC_2260,121.08628,24.907347,,
(租11402)高鐵南路十段、上湖二路口(一)-3.高鐵南路十段往新竹外車道(車),NOR-1003,上湖派出所,2025-08-01,17:48:05,2050284021,LOC_2279,121.085887,24.90709,,
(租11402)高鐵南路十段、上湖二路口(一)-2.高鐵南路十段往新竹內車道(車),NOR-1003,上湖派出所,2025-08-01,17:48:06,2050284011,LOC_2279,121.085912,24.907078,,
(租11401)中山路943巷1弄-4.往中山路943巷往中山路(車),NOR-1005,龍安派出所,2025-08-01,17:48:08,2010046031,LOC_0437,121.282994,24.987052,,
(租11401)高鐵南路十段、上湖二路口(二)-5.往上湖二路300巷(車),NOR-1003,上湖派出所,2025-08-01,17:48:15,2050227041,LOC_2262,121.086218,24.906585,,
(租11401)國強七街與國豐六街口-5.往國強七街往國強七街32巷(車),NOR-1005,龍安派出所,2025-08-01,17:49:48,2010074041,LOC_0451,121.278002,24.988121,,
(租11401)國強七街與國豐六街口-7.往國豐六街往龍鳳三街(車),NOR-1005,龍安派出所,2025-08-01,17:49:59,2010074061,LOC_0452,121.278496,24.988032,,
(租11401)國強七街與國豐六街口-6.往國強七街往龍安街(車),NOR-1005,龍安派出所,2025-08-01,17:50:03,2010074051,LOC_0447,121.278483,24.988292,,
(租11401)國強七街與國豐六街口-4.往國豐六街往國強八街(車),NOR-1005,龍安派出所,2025-08-01,17:50:09,2010074031,LOC_0450,121.2783,24.988496,,
(租11401)國強十一街與國豐八街口-3.往國強十一街往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,17:51:17,2010075021,LOC_0455,121.275364,24.991079,,
(租11401)國強十一街與國豐八街口-5.往國豐八街(車),NOR-1005,龍安派出所,2025-08-01,17:51:26,2010075041,LOC_0457,121.275532,24.991542000000003,,
(租11401)國強十一街與國豐八街口-4.往國強十一街往國豐七街(車),NOR-1005,龍安派出所,2025-08-01,17:51:34,2010075031,LOC_0456,121.27588,24.991267,,
(租11402)泰圳路、泰圳路1450巷口-2.往新竹(車),NOR-1003,上湖派出所,2025-08-01,17:51:37,2050279011,LOC_2275,121.090011,24.894771,,
(租11402)泰圳路、泰圳路1450巷口-3.往新竹(車),NOR-1003,上湖派出所,2025-08-01,17:51:41,2050279021,LOC_2276,121.090044,24.895009,,
(租11402)泰圳路、上湖二路-2.往八德路三段135巷(車),NOR-1003,上湖派出所,2025-08-01,17:52:16,2050915011,LOC_2271,121.091617,24.895593,,
(租11402)泰圳路、上湖二路-4.往楊湖路二段719巷(車),NOR-1003,上湖派出所,2025-08-01,17:52:21,2050915031,LOC_2273,121.091519,24.895929,,
