攝影機名稱,車牌,單位,日期,時間,攝影機,LocationID,經度,緯度
(租11401)埔頂路一段(桃53)、慈光街-4.往慈光街(車),NOR-1002,圳頂派出所,2025-08-01,08:12:55,2030416031,LOC_1697,121.277361,24.904895
(租11401)埔頂路一段(桃53)、慈光街-3.往仁和路一段(車),NOR-1002,圳頂派出所,2025-08-01,08:13:01,2030416021,LOC_1696,121.276821,24.9052
(租11401)龍華路與龍祥路-5.往中正路242巷(車),NOR-1003,龍潭派出所,2025-08-01,08:15:00,2090680041,LOC_4199,121.216869,24.862147
(租11401)龍華路與龍祥路-6.往中正路242巷(車),NOR-1003,龍潭派出所,2025-08-01,08:15:02,2090680051,LOC_4200,121.216662,24.862268
(租11401)龍華路與龍祥路-4.往東龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:15:06,2090680031,LOC_4198,121.216789,24.861809
(租11401)龍華路與龍祥路-3.往新龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:15:08,2090680021,LOC_4197,121.216983,24.861558
(租11402)興豐路、長安街-3.往長安街1906巷往羊稠仔(車),NOR-1003,大安派出所,2025-08-01,08:15:13,2080798021,LOC_4036,121.217114,24.861215
(租11402)興豐路、長安街-5.往興豐街往鶯歌(車),NOR-1003,大安派出所,2025-08-01,08:15:13,2080798041,LOC_4038,121.217114,24.861215
(租11402)中正東路、和二路-3.往中正東路往和二路79巷19弄(車),NOR-1003,南雅派出所,2025-08-01,08:15:16,2030828021,LOC_1534,121.21668,24.861264
(租11402)興豐路、長安街-4.往興豐街往八德分局(車),NOR-1003,大安派出所,2025-08-01,08:15:16,2080798031,LOC_4037,121.21668,24.861264
(租11402)龍華路226巷、242巷-2.往龍華路226巷內(車),NOR-1003,龍潭派出所,2025-08-01,08:15:16,2090843011,LOC_4246,121.21668,24.861264
(租11402)東龍路與龍祥路口-2.往東龍路60巷(車),NOR-1003,龍潭派出所,2025-08-01,08:15:24,2090691011,LOC_4227,121.215973,24.86101
(租11402)東龍路與龍祥路口-4.往新龍路方向(車),NOR-1003,龍潭派出所,2025-08-01,08:15:28,2090691031,LOC_4229,121.215588,24.861255
(租11402)東龍路與龍祥路口-3.往東龍路83巷(車),NOR-1003,龍潭派出所,2025-08-01,08:15:29,2090691021,LOC_4228,121.215498,24.861301
(租11402)東龍路與中正路242巷口-3.往龍華路(車),NOR-1003,龍潭派出所,2025-08-01,08:15:42,2090690021,LOC_4224,121.215791,24.86238
(租11402)東龍路與中正路242巷口-4.往南龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:15:50,2090690031,LOC_4225,121.214997,24.862705
(租11401)槺榔路、蚵殼港圳6-1號池-5.往南圳(車),NOR-1005,大坡派出所,2025-08-01,08:16:00,2050235041,LOC_2678,121.030018,24.973456
(租11401)槺榔路、蚵殼港圳6-1號池-4.往下槺榔(車),NOR-1005,大坡派出所,2025-08-01,08:16:03,2050235031,LOC_2677,121.02991,24.973862
(租11401)東龍路與南龍路口 (東龍路200巷)-3.往新龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:16:03,2090672021,LOC_4189,121.214616,24.863748
(租11401)槺榔路、蚵殼港圳6-1號池-3.往大坡國中(車),NOR-1005,大坡派出所,2025-08-01,08:16:05,2050235021,LOC_2676,121.029751,24.973919
(租11401)槺榔路、蚵殼港圳6-1號池-2.往民有三路(車),NOR-1005,大坡派出所,2025-08-01,08:16:06,2050235011,LOC_2675,121.029551,24.973828
(租11401)東龍路與南龍路口 (東龍路200巷)-4.往神龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:16:13,2090672031,LOC_4190,121.213806,24.864296
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-5.往龍元路(車),NOR-1003,龍潭派出所,2025-08-01,08:16:32,2090671041,LOC_4185,121.212492,24.865318
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-3.往聖亭路(車),NOR-1003,龍潭派出所,2025-08-01,08:16:37,2090671021,LOC_4183,121.21216,24.865594
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-4.往東龍路313巷(車),NOR-1003,龍潭派出所,2025-08-01,08:16:41,2090671031,LOC_4184,121.212523,24.865986
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-6.往東龍路(車),NOR-1003,龍潭派出所,2025-08-01,08:16:44,2090671051,LOC_4186,121.212799,24.865736
(租11401)文化路二段(台15)、湧泉路-4.文化路二段往民有一路(車),NOR-1005,永安派出所,2025-08-01,08:17:26,2050205031,LOC_2597,121.022497,24.970165
(租11401)文化路二段(台15)、湧泉路-5.往笨港里3鄰(車),NOR-1005,永安派出所,2025-08-01,08:17:31,2050205041,LOC_2598,121.022173,24.969763
(租11401)文化路二段(台15)、湧泉路-2.文化路二段往蚵間內車道(車),NOR-1005,永安派出所,2025-08-01,08:17:35,2050205011,LOC_2595,121.021786,24.969783
(租11401)文化路二段(台15)、湧泉路-3.文化路二段往蚵間外車道(車),NOR-1005,永安派出所,2025-08-01,08:17:35,2050205021,LOC_2596,121.021771,24.969783
(租11401)文化路二段(台15)、湧泉路-6.湧泉路往台61巷(車),NOR-1005,永安派出所,2025-08-01,08:17:39,2050205051,LOC_2599,121.02155,24.970313
(租11402)文化路二段540號前-3.文化路二段往文大路外車道(車),NOR-1005,大坡派出所,2025-08-01,08:18:49,2050255021,LOC_2682,121.01561,24.964907
(租11402)文化路二段540號前-2.文化路二段往文大路內車道(車),NOR-1005,大坡派出所,2025-08-01,08:18:49,2050255011,LOC_2681,121.015588,24.964917
(租11402)文化路二段540號前-6.往蚵殼港圳6-1號池(車),NOR-1005,大坡派出所,2025-08-01,08:18:52,2050255051,LOC_2685,121.0155,24.964549
(租11402)文化路二段540號前-5.文化路二段往後庄二路內車道(車),NOR-1005,大坡派出所,2025-08-01,08:18:54,2050255041,LOC_2684,121.015173,24.964494
(租11402)文化路二段540號前-4.文化路二段往後庄二路外車道(車),NOR-1005,大坡派出所,2025-08-01,08:18:54,2050255031,LOC_2683,121.015156,24.964499
(租11402)文化路二段540號前-7.往台61線(車),NOR-1005,大坡派出所,2025-08-01,08:18:56,2050255061,LOC_2686,121.015083,24.964816
(租11401)農改場前午後湖方向 (東福路口)-3.往蚵間國小(車),NOR-1005,大坡派出所,2025-08-01,08:21:04,2050233021,LOC_2673,121.026921,24.954836
(租11401)農改場前午後湖方向 (東福路口)-2.往大坡派出所(車),NOR-1005,大坡派出所,2025-08-01,08:21:08,2050233011,LOC_2672,121.027392,24.955033
(租11401)民有二路、國校路口＃民有二路(桃106)、國校路-4.往大坡里6鄰(車),NOR-1005,大坡派出所,2025-08-01,08:22:28,2050210031,LOC_2670,121.039771,24.958185
(租11401)民有二路、國校路口＃民有二路(桃106)、國校路-3.往大坡國小(車),NOR-1005,大坡派出所,2025-08-01,08:22:31,2050210021,LOC_2669,121.040111,24.958169
(租11402)東福路一段、警訓路口-3.往警訓中心(車),NOR-1005,大坡派出所,2025-08-01,08:23:55,2050272021,LOC_2691,121.049357,24.964123
(租11402)春日路與寶山街口 (延伸寶山街378、360巷)-5.往雙峰路(車),NOR-1004,青溪派出所,2025-08-01,08:26:00,2010072041,LOC_0304,121.311399,25.011562
(租11402)春日路與寶山街口 (延伸寶山街378、360巷)-3.往雙峰路(車),NOR-1004,青溪派出所,2025-08-01,08:26:06,2010072021,LOC_0302,121.311957,25.011226
(租11402)春日路與寶山街口 (延伸寶山街378、360巷)-6.往大業路一段(車),NOR-1004,青溪派出所,2025-08-01,08:26:15,2010072051,LOC_0305,121.311443,25.010664
(租11402)春日路與寶山街口 (延伸寶山街378、360巷)-4.往民富十一街(車),NOR-1004,青溪派出所,2025-08-01,08:26:20,2010072031,LOC_0303,121.312291,25.010548
(租11401)福元街、民富九街與大業路一段口-7.往大業路一段(車),NOR-1004,青溪派出所,2025-08-01,08:26:41,2010035061,LOC_0283,121.314268,25.00964
(租11401)福元街、民富九街與大業路一段口-6.往福元街(車),NOR-1004,青溪派出所,2025-08-01,08:26:43,2010035051,LOC_0282,121.314511,25.009742000000003
(租11401)福元街、民富九街與大業路一段口-5.往民富九街(車),NOR-1004,青溪派出所,2025-08-01,08:26:52,2010035041,LOC_0281,121.315363,25.009247
(租11401)福元街、民富九街與大業路一段口-4.往大業路一段往民光東路(車),NOR-1004,青溪派出所,2025-08-01,08:26:59,2010035031,LOC_0280,121.315108,25.008747
(租11401)民有三街、民有十三街與寶山街口-4.往民有三街(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:16,2010017031,LOC_0660,121.314705,25.010809
(租11401)民有三街、民有十三街與寶山街口-5.往寶山街往大有路(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:23,2010017041,LOC_0661,121.314438,25.011682
(租11401)民有三街、民有十三街與寶山街口-6.往雙峰路(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:28,2010017051,LOC_0662,121.314206600337,25.0120838645721
(租11401)坤成街與民有十六街口-5.往坤成街105巷(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:41,2010067041,LOC_0667,121.312901,25.013278
(租11401)坤成街與民有十六街口-3.往坤成街往民有三街(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:43,2010067021,LOC_0665,121.312771,25.013527
(租11401)坤成街與民有十六街口-4.往坤成街往大業一路(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:44,2010067031,LOC_0666,121.312732,25.013523
(租11401)坤成街與民有十六街口-6.往民有十六街往大興路(車),NOR-1004,小檜溪派出所,2025-08-01,08:27:49,2010067051,LOC_0668,121.312949,25.013999
(租11401)大有路與興一街口-3.往興一街65巷(車),NOR-1004,小檜溪派出所,2025-08-01,08:28:23,2010004021,LOC_0646,121.316511,25.015082
(租11401)大有路與興一街口-6.往大有路往大興路方向(車),NOR-1004,小檜溪派出所,2025-08-01,08:28:28,2010004051,LOC_0649,121.31694,25.015451
(租11401)大有路與興一街口-5.往興一街(車),NOR-1004,小檜溪派出所,2025-08-01,08:28:35,2010004041,LOC_0648,121.317582,25.015535
(租11401)大有路與興一街口-4.往民有東路12巷(車),NOR-1004,小檜溪派出所,2025-08-01,08:28:37,2010004031,LOC_0647,121.317788,25.015411
(租11401)大有路與興一街口-7.往大有路往民有東路方向(車),NOR-1004,小檜溪派出所,2025-08-01,08:28:45,2010004061,LOC_0650,121.317334,25.014737
(租11401)白玉一路、白玉二路與自強五街口-3.往自強一路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:00,2020859021,LOC_0846,121.083625,25.044509
(租11401)白玉一路、白玉二路與自強五街口-4.自強五街往桃科五路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:03,2020859031,LOC_0847,121.083491,25.044828
(租11401)白玉一路、白玉二路與自強五街口-5.白玉二路往桃科五路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:09,2020859041,LOC_0848,121.08287,25.045127
(租11401)白玉一路、白玉二路與自強五街口-6.往白玉三路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:16,2020859051,LOC_0849,121.08241,25.044702
(租11401)自強一路與桃科五路口-5.往白玉二路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:34,2020858041,LOC_0854,121.084189,25.045204
(租11401)自強一路與桃科五路口-4.往自強五路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:38,2020858031,LOC_0853,121.084306,25.044773
(租11401)自強一路與桃科五路口-3.往白玉一路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:40,2020858021,LOC_0852,121.084438,25.044564
(租11401)自強一路與桃科五路口-6.往桃科六路(車),NOR-1001,觀音分駐所,2025-08-01,08:35:47,2020858051,LOC_0855,121.084749,25.0451
(租11401)桃科七路與白玉二路口-2.往桃科六路(車),NOR-1001,觀音分駐所,2025-08-01,08:36:09,2020857011,LOC_0867,121.085838,25.047488
(租11401)桃科七路與白玉二路口-3.往白玉三路(車),NOR-1001,觀音分駐所,2025-08-01,08:36:13,2020857021,LOC_0868,121.085974,25.047749
(租11401)桃科七路與白玉二路口-4.往自強六街(車),NOR-1001,觀音分駐所,2025-08-01,08:36:16,2020857031,LOC_0869,121.086282,25.047676
(租11401)桃科七路與白玉二路口-5.往自強二路(車),NOR-1001,觀音分駐所,2025-08-01,08:36:19,2020857041,LOC_0870,121.086178,25.047453
(租11402)玉林路一段與桃科六路口-2.往白玉三路(車),NOR-1001,觀音分駐所,2025-08-01,08:37:00,2021069011,LOC_0918,121.08872,25.043427
(租11402)玉林路一段與桃科六路口-3.往中興路(車),NOR-1001,觀音分駐所,2025-08-01,08:37:05,2021069021,LOC_0919,121.088328,25.04289
(租11402)信義路145、156巷口-2.往中正路(車),NOR-1001,觀音分駐所,2025-08-01,08:38:46,2020368011,LOC_0935,121.077574,25.035256
(租11402)信義路145、156巷口-4.往信義路(車),NOR-1001,觀音分駐所,2025-08-01,08:38:52,2020368031,LOC_0937,121.076785,25.035825
(租11402)信義路145、156巷口-3.往桃科一路(車),NOR-1001,觀音分駐所,2025-08-01,08:39:01,2020368021,LOC_0936,121.076456,25.035168
(租11401)文化路與觀和路口-2.往中正路(車),NOR-1001,觀音分駐所,2025-08-01,08:40:39,2020349011,LOC_0820,121.08444,25.029482
(租11401)文化路與觀和路口-3.往廣興一路(車),NOR-1001,觀音分駐所,2025-08-01,08:40:41,2020349021,LOC_0821,121.084697,25.029324
(租11401)文化路與觀新路-1.往濱海路廣興段(車),NOR-1001,觀音分駐所,2025-08-01,08:40:51,2020349111,LOC_0823,121.085098,25.02806
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-4.往東龍路313巷(車),DEL-8888,龍潭派出所,2025-08-01,22:19:00,2090671031,LOC_4184,121.212523,24.865986
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-6.往東龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:03,2090671051,LOC_4186,121.212799,24.865736
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-5.往龍元路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:07,2090671041,LOC_4185,121.212492,24.865318
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-3.往聖亭路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:10,2090671021,LOC_4183,121.21216,24.865594
(租11402)北龍路15巷7號前-3.往北龍路15巷17號前方道路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:23,2090895021,LOC_4218,121.210592,24.865601
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-6.往東龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:19:26,2090671051,LOC_4186,121.212799,24.865736
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-4.往東龍路313巷(車),ACC-0001,龍潭派出所,2025-08-01,22:19:28,2090671031,LOC_4184,121.212523,24.865986
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-5.往龍元路(車),ACC-0001,龍潭派出所,2025-08-01,22:19:28,2090671041,LOC_4185,121.212492,24.865318
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-6.往東龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:19:36,2090671051,LOC_4186,121.212799,24.865736
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-4.往東龍路313巷(車),ACC-0002,龍潭派出所,2025-08-01,22:19:42,2090671031,LOC_4184,121.212523,24.865986
(租11401)東龍路與南龍路口 (東龍路200巷)-4.往神龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:44,2090672031,LOC_4190,121.213806,24.864296
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-3.往聖亭路(車),ACC-0001,龍潭派出所,2025-08-01,22:19:52,2090671021,LOC_4183,121.21216,24.865594
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-5.往龍元路(車),ACC-0002,龍潭派出所,2025-08-01,22:19:54,2090671041,LOC_4185,121.212492,24.865318
(租11401)東龍路與南龍路口 (東龍路200巷)-3.往新龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:19:55,2090672021,LOC_4189,121.214616,24.863748
(租11402)北龍路15巷7號前-3.往北龍路15巷17號前方道路(車),ACC-0001,龍潭派出所,2025-08-01,22:19:59,2090895021,LOC_4218,121.210592,24.865601
(租11402)東龍路與中正路242巷口-4.往南龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:20:07,2090690031,LOC_4225,121.214997,24.862705
(租11401)北龍路59巷口(延伸至龍元路與第一市場前)-3.往聖亭路(車),ACC-0002,龍潭派出所,2025-08-01,22:20:08,2090671021,LOC_4183,121.21216,24.865594
(租11401)東龍路與南龍路口 (東龍路200巷)-3.往新龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:10,2090672021,LOC_4189,121.214616,24.863748
(租11402)東龍路與中正路242巷口-3.往龍華路(車),DEL-8888,龍潭派出所,2025-08-01,22:20:13,2090690021,LOC_4224,121.215791,24.86238
(租11401)龍華路與龍祥路-6.往中正路242巷(車),DEL-8888,龍潭派出所,2025-08-01,22:20:19,2090680051,LOC_4200,121.216662,24.862268
(租11401)龍華路與龍祥路-5.往中正路242巷(車),DEL-8888,龍潭派出所,2025-08-01,22:20:22,2090680041,LOC_4199,121.216869,24.862147
(租11401)龍華路與龍祥路-4.往東龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:20:26,2090680031,LOC_4198,121.216789,24.861809
(租11401)東龍路與南龍路口 (東龍路200巷)-4.往神龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:27,2090672031,LOC_4190,121.213806,24.864296
(租11401)東龍路與南龍路口 (東龍路200巷)-4.往神龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:20:28,2090672031,LOC_4190,121.213806,24.864296
(租11401)龍華路與龍祥路-3.往新龍路(車),DEL-8888,龍潭派出所,2025-08-01,22:20:28,2090680021,LOC_4197,121.216983,24.861558
(租11402)興豐路、長安街-3.往長安街1906巷往羊稠仔(車),DEL-8888,大安派出所,2025-08-01,22:20:31,2080798021,LOC_4036,121.217114,24.861215
(租11402)興豐路、長安街-5.往興豐街往鶯歌(車),DEL-8888,大安派出所,2025-08-01,22:20:31,2080798041,LOC_4038,121.217114,24.861215
(租11402)東龍路與中正路242巷口-4.往南龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:32,2090690031,LOC_4225,121.214997,24.862705
(租11402)興豐路、長安街-4.往興豐街往八德分局(車),DEL-8888,大安派出所,2025-08-01,22:20:34,2080798031,LOC_4037,121.21668,24.861264
(租11402)中正東路、和二路-3.往中正東路往和二路79巷19弄(車),DEL-8888,南雅派出所,2025-08-01,22:20:34,2030828021,LOC_1534,121.21668,24.861264
(租11402)龍華路226巷、242巷-2.往龍華路226巷內(車),DEL-8888,龍潭派出所,2025-08-01,22:20:34,2090843011,LOC_4246,121.21668,24.861264
(租11402)北龍路15巷7號前-3.往北龍路15巷17號前方道路(車),ACC-0002,龍潭派出所,2025-08-01,22:20:38,2090895021,LOC_4218,121.210592,24.865601
(租11402)東龍路與中正路242巷口-3.往龍華路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:38,2090690021,LOC_4224,121.215791,24.86238
(租11402)東龍路與龍祥路口-2.往東龍路60巷(車),DEL-8888,龍潭派出所,2025-08-01,22:20:40,2090691011,LOC_4227,121.215973,24.86101
(租11402)東龍路與龍祥路口-4.往新龍路方向(車),DEL-8888,龍潭派出所,2025-08-01,22:20:43,2090691031,LOC_4229,121.215588,24.861255
(租11402)東龍路與龍祥路口-3.往東龍路83巷(車),DEL-8888,龍潭派出所,2025-08-01,22:20:44,2090691021,LOC_4228,121.215498,24.861301
(租11401)龍華路與龍祥路-4.往東龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:46,2090680031,LOC_4198,121.216789,24.861809
(租11402)興豐路、長安街-3.往長安街1906巷往羊稠仔(車),ACC-0001,大安派出所,2025-08-01,22:20:47,2080798021,LOC_4036,121.217114,24.861215
(租11401)龍華路與龍祥路-3.往新龍路(車),ACC-0001,龍潭派出所,2025-08-01,22:20:52,2090680021,LOC_4197,121.216983,24.861558
(租11402)龍華路226巷、242巷-2.往龍華路226巷內(車),ACC-0001,龍潭派出所,2025-08-01,22:20:55,2090843011,LOC_4246,121.21668,24.861264
(租11401)龍華路與龍祥路-6.往中正路242巷(車),ACC-0001,龍潭派出所,2025-08-01,22:20:58,2090680051,LOC_4200,121.216662,24.862268
(租11402)中正東路、和二路-3.往中正東路往和二路79巷19弄(車),ACC-0001,南雅派出所,2025-08-01,22:21:00,2030828021,LOC_1534,121.21668,24.861264
(租11401)龍華路與龍祥路-5.往中正路242巷(車),ACC-0001,龍潭派出所,2025-08-01,22:21:02,2090680041,LOC_4199,121.216869,24.862147
(租11402)東龍路與龍祥路口-2.往東龍路60巷(車),ACC-0001,龍潭派出所,2025-08-01,22:21:04,2090691011,LOC_4227,121.215973,24.86101
(租11402)興豐路、長安街-5.往興豐街往鶯歌(車),ACC-0001,大安派出所,2025-08-01,22:21:08,2080798041,LOC_4038,121.217114,24.861215
(租11402)興豐路、長安街-4.往興豐街往八德分局(車),ACC-0001,大安派出所,2025-08-01,22:21:12,2080798031,LOC_4037,121.21668,24.861264
(租11402)興豐路、長安街-5.往興豐街往鶯歌(車),ACC-0002,大安派出所,2025-08-01,22:21:13,2080798041,LOC_4038,121.217114,24.861215
(租11402)東龍路與龍祥路口-4.往新龍路方向(車),ACC-0001,龍潭派出所,2025-08-01,22:21:14,2090691031,LOC_4229,121.215588,24.861255
(租11401)龍華路與龍祥路-6.往中正路242巷(車),ACC-0002,龍潭派出所,2025-08-01,22:21:15,2090680051,LOC_4200,121.216662,24.862268
(租11401)龍華路與龍祥路-4.往東龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:21:16,2090680031,LOC_4198,121.216789,24.861809
(租11402)大同路與光明路口-2.往中正路(車),DEL-8888,龍潭派出所,2025-08-01,22:21:16,2090681011,LOC_4207,121.219358,24.861206
(租11402)大同路與光明路口-3.往富山一街(車),DEL-8888,龍潭派出所,2025-08-01,22:21:20,2090681021,LOC_4208,121.219855,24.861155
(租11402)東龍路與龍祥路口-3.往東龍路83巷(車),ACC-0001,龍潭派出所,2025-08-01,22:21:21,2090691021,LOC_4228,121.215498,24.861301
(租11401)東龍路與南龍路口 (東龍路200巷)-3.往新龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:21:24,2090672021,LOC_4189,121.214616,24.863748
(租11402)東龍路與中正路242巷口-3.往龍華路(車),ACC-0002,龍潭派出所,2025-08-01,22:21:25,2090690021,LOC_4224,121.215791,24.86238
(租11402)大同路與光明路口-4.往大同路194巷(車),DEL-8888,龍潭派出所,2025-08-01,22:21:26,2090681031,LOC_4209,121.220215,24.861444
(租11402)中正東路、和二路-3.往中正東路往和二路79巷19弄(車),ACC-0002,南雅派出所,2025-08-01,22:21:26,2030828021,LOC_1534,121.21668,24.861264
(租11401)龍華路與龍祥路-5.往中正路242巷(車),ACC-0002,龍潭派出所,2025-08-01,22:21:26,2090680041,LOC_4199,121.216869,24.862147
(租11402)龍華路226巷、242巷-2.往龍華路226巷內(車),ACC-0002,龍潭派出所,2025-08-01,22:21:29,2090843011,LOC_4246,121.21668,24.861264
(租11402)大同路與光明路口-5.往光明路75巷(車),DEL-8888,龍潭派出所,2025-08-01,22:21:30,2090681041,LOC_4210,121.220048,24.86182
(租11402)東龍路與中正路242巷口-4.往南龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:21:31,2090690031,LOC_4225,121.214997,24.862705
(租11401)龍華路與龍祥路-3.往新龍路(車),ACC-0002,龍潭派出所,2025-08-01,22:21:32,2090680021,LOC_4197,121.216983,24.861558
(租11402)大同路與光明路口-3.往富山一街(車),ACC-0001,龍潭派出所,2025-08-01,22:21:36,2090681021,LOC_4208,121.219855,24.861155
(租11402)大同路226巷內-3.往大同路226巷35號(車),DEL-8888,龍潭派出所,2025-08-01,22:21:40,2090842021,LOC_4205,121.220341,24.862939
(租11402)東龍路與龍祥路口-3.往東龍路83巷(車),ACC-0002,龍潭派出所,2025-08-01,22:21:47,2090691021,LOC_4228,121.215498,24.861301
(租11402)大同路與光明路口-4.往大同路194巷(車),ACC-0001,龍潭派出所,2025-08-01,22:21:52,2090681031,LOC_4209,121.220215,24.861444
(租11402)大同路與光明路口-2.往中正路(車),ACC-0001,龍潭派出所,2025-08-01,22:21:52,2090681011,LOC_4207,121.219358,24.861206
(租11402)興豐路、長安街-3.往長安街1906巷往羊稠仔(車),ACC-0002,大安派出所,2025-08-01,22:22:00,2080798021,LOC_4036,121.217114,24.861215
(租11402)興豐路、長安街-4.往興豐街往八德分局(車),ACC-0002,大安派出所,2025-08-01,22:22:02,2080798031,LOC_4037,121.21668,24.861264
